lemma,article,category
beheer,het,abstract
stilte,de,abstract
collectief,het,abstract
stroom,de,zaaknaam;verzamelnaam;abstract
religie,de,abstract
blessure,de,abstract
kussen,het,zaaknaam
achterstand,de,abstract
architect,de,persoonsnaam
paal,de,zaaknaam
vestiging,de,abstract
vluchteling,de,persoonsnaam
gas,het,zaaknaam;verzamelnaam;stofnaam;abstract
drama,het,abstract
excuus,het,abstract
premie,de,abstract
bende,de,verzamelnaam
realiteit,de,abstract
pink,de,zaaknaam;abstract
verscheiden,het,abstract
btw,de,abstract
verbetering,de,abstract
domein,het,zaaknaam
ingang,de,zaaknaam;abstract
boord,het;de,zaaknaam
bon,de,zaaknaam
melk,de,stofnaam
kruis,het,zaaknaam
werkloosheid,de,abstract
doos,de,zaaknaam
wonder,het,abstract
revolutie,de,abstract
congres,het,abstract
west,de,abstract
nieuwkomer,de,persoonsnaam
staatssecretaris,de,persoonsnaam
decennium,het,abstract
vertraging,de,abstract
voornaam,de,abstract
duo,het,verzamelnaam
alcohol,de,zaaknaam;verzamelnaam;stofnaam;abstract
zwembad,het,zaaknaam;abstract
speeldag,de,abstract
terugkeer,de,abstract
scenario,het,abstract
doek,het;de,zaaknaam;stofnaam
imago,het,abstract
code,de,abstract
vergunning,de,zaaknaam;abstract
toeschouwer,de,persoonsnaam
cup,de,zaaknaam
prinses,de,persoonsnaam;abstract
bodem,de,zaaknaam
oordeel,het,abstract
tabel,de,zaaknaam
identiteit,de,abstract
voorschrift,het,abstract
bruin,het,abstract
humor,de,abstract
toernooi,het,abstract
toeval,het;de,abstract
conservatief,de,persoonsnaam
score,de,abstract
vrijwilliger,de,persoonsnaam
homo,de,persoonsnaam
kring,de,verzamelnaam;abstract
parking,de,zaaknaam
spijt,de,abstract
socialist,de,persoonsnaam
jury,de,abstract
vuil,het,verzamelnaam
symbool,het,abstract
toerisme,het,abstract
onafhankelijkheid,de,abstract
poot,de,zaaknaam
applaus,het,abstract
schrik,de,abstract
misdaad,de,abstract
wereldkampioen,de,persoonsnaam;abstract
verbod,het,abstract
overeenstemming,de,abstract
spul,het,abstract
bol,de,zaaknaam
toezicht,het,abstract
tekening,de,zaaknaam
voorwerp,het,zaaknaam
emotie,de,abstract
dialoog,de,abstract
groente,de,zaaknaam;verzamelnaam;stofnaam
kartel,het;de,zaaknaam;verzamelnaam;abstract
verstand,het,abstract
bezwaar,het,abstract
hoogtepunt,het,abstract
afbeelding,de,abstract
bv,de,abstract
beperking,de,abstract
scheiding,de,zaaknaam;abstract
tent,de,zaaknaam
garantie,de,abstract
bar,de,zaaknaam;abstract
toestemming,de,abstract
software,de,verzamelnaam
dank,de,abstract
definitie,de,abstract
correspondent,de,persoonsnaam
bestemming,de,abstract
sigaret,de,zaaknaam
armoede,de,abstract
daling,de,abstract
proef,de,abstract
gans,de,zaaknaam;persoonsnaam
vooruitgang,de,abstract
mais,de,stofnaam
minister-president,de,persoonsnaam
tocht,de,abstract
villa,de,zaaknaam
zout,het,zaaknaam;persoonsnaam;stofnaam;abstract
paleis,het,zaaknaam
behoud,het,abstract
put,de,zaaknaam
scene,de,abstract
genre,het,abstract
verbinding,de,abstract
vat,het;de,zaaknaam;abstract
geboorte,de,abstract
bijeenkomst,de,abstract
gevecht,het,abstract
hit,de,abstract
kloof,de,zaaknaam;abstract
expert,de,persoonsnaam
examen,het,abstract
vrucht,de,zaaknaam;abstract
ijs,het,zaaknaam;verzamelnaam;stofnaam
appel,het;de,zaaknaam;stofnaam;abstract
topman,de,persoonsnaam
grondgebied,het,abstract
priester,de,persoonsnaam
nul,de,zaaknaam
uitstel,het,abstract
bondscoach,de,persoonsnaam
voorstander,de,persoonsnaam
reiziger,de,persoonsnaam
prioriteit,de,abstract
koper,het;de,persoonsnaam;verzamelnaam;stofnaam;abstract
eigendom,het;de,abstract
medaille,de,zaaknaam
arbeid,de,abstract
specialist,de,persoonsnaam;abstract
gulden,de,zaaknaam;abstract
gids,de,zaaknaam;persoonsnaam;abstract
onzin,de,verzamelnaam;abstract
verplichting,de,abstract
fraude,de,abstract
keizer,de,persoonsnaam
ontmoeting,de,abstract
tempo,het,abstract
storm,de,abstract
werkgelegenheid,de,abstract
namiddag,de,abstract
handicap,de,abstract
huisarts,de,persoonsnaam
asielzoeker,de,persoonsnaam
erkenning,de,abstract
inbraak,de,abstract
tarief,het,abstract
analist,de,persoonsnaam
geur,de,abstract
handelaar,de,persoonsnaam;abstract
lengte,de,abstract
moed,de,abstract
jongeman,de,persoonsnaam
racisme,het,abstract
monument,het,zaaknaam
honger,de,abstract
begeleiding,de,abstract
natie,de,verzamelnaam
tak,de,zaaknaam
traan,de,zaaknaam
fenomeen,het,abstract
terras,het,zaaknaam
service,de,abstract
song,de,abstract
status,de,abstract
misbruik,het,abstract
medicijn,het;de,zaaknaam;abstract
inzien,het,abstract
vergoeding,de,abstract
toren,de,zaaknaam;persoonsnaam
installatie,de,zaaknaam;abstract
uitgever,de,persoonsnaam;abstract
ex,de,persoonsnaam
non,de,persoonsnaam
state,de,zaaknaam
kunstwerk,het,zaaknaam
klimaat,het,abstract
mode,de,verzamelnaam;abstract
route,de,abstract
jas,de,zaaknaam
reserve,de,persoonsnaam;verzamelnaam;abstract
echtgenote,de,persoonsnaam
fruit,het,verzamelnaam;stofnaam
trui,de,zaaknaam
schatting,de,abstract
echtgenoot,de,persoonsnaam
basisschool,de,zaaknaam;abstract
kok,de,zaaknaam;persoonsnaam
intellectueel,de,persoonsnaam
publicatie,de,zaaknaam;abstract
nek,de,zaaknaam
poort,de,zaaknaam
mensenrecht,het,abstract
strafschop,de,abstract
gerucht,het,abstract
affiche,het;de,zaaknaam
middenvelder,de,persoonsnaam
referendum,het,abstract
gouverneur,de,persoonsnaam
supermarkt,de,zaaknaam
sleutel,de,zaaknaam;abstract
christen,de,persoonsnaam
afval,het;de,verzamelnaam
terrorisme,het,abstract
pauze,de,abstract
boel,de,verzamelnaam
spiegel,de,zaaknaam;abstract
opera,de,abstract
portret,het,zaaknaam;persoonsnaam;abstract
kleding,de,verzamelnaam;abstract
klok,de,zaaknaam
godsdienst,de,abstract
kenmerk,het,abstract
avontuur,het,abstract
context,de,abstract
kanker,de,zaaknaam;abstract
lijk,het,zaaknaam
landgenoot,de,persoonsnaam
duidelijkheid,de,abstract
terrorist,de,persoonsnaam
kaas,de,zaaknaam;verzamelnaam;stofnaam
verzekering,de,abstract
koe,de,zaaknaam;persoonsnaam
race,de,abstract
like,de,abstract
buit,de,verzamelnaam
stress,de,abstract
invoering,de,abstract
senior,de,persoonsnaam
elftal,het,verzamelnaam
volksgezondheid,de,abstract
verwonding,de,zaaknaam;abstract
promotie,de,abstract
opbouw,de,zaaknaam;abstract
journaal,het,abstract
reputatie,de,abstract
voeding,de,verzamelnaam;stofnaam;abstract
gemeenteraadsverkiezing,de,abstract
duivel,de,persoonsnaam
deelname,de,abstract
failliet,het;de,persoonsnaam;abstract
vertaling,de,abstract
voorjaar,het,abstract
lezing,de,abstract
uitgeverij,de,abstract
staatshervorming,de,abstract
adem,de,zaaknaam
transfer,het;de,abstract
uitkering,de,abstract
kapitein,de,persoonsnaam
herstel,het,abstract
jack,het,zaaknaam
betaling,de,abstract
inflatie,de,abstract
balans,de,zaaknaam
aanvaller,de,zaaknaam;persoonsnaam
haat,de,abstract
centimeter,de,zaaknaam;abstract
lui,de,persoonsnaam
gewoonte,de,abstract
familielid,het,zaaknaam;persoonsnaam
spirit,de,abstract
omvang,de,abstract
administratie,de,abstract
orkest,het,verzamelnaam
aankomst,de,abstract
hectare,de,abstract
documentaire,de,abstract
aanwijzing,de,abstract
departement,het,abstract
vleugel,de,zaaknaam;verzamelnaam
ingreep,de,abstract
uitzicht,het,abstract
ruil,de,abstract
pil,de,zaaknaam
fax,de,zaaknaam
zand,het,stofnaam
melding,de,abstract
muzikant,de,persoonsnaam
toneel,het,zaaknaam;abstract
mars,de,zaaknaam;abstract
peiling,de,abstract
opvatting,de,abstract
bakker,de,zaaknaam;persoonsnaam;abstract
garage,de,zaaknaam
gram,het,abstract
gezondheidszorg,de,abstract
leverancier,de,zaaknaam;persoonsnaam;stofnaam;abstract
presentatie,de,abstract
schoonheid,de,persoonsnaam;abstract
infrastructuur,de,verzamelnaam
schaap,het,zaaknaam;persoonsnaam;stofnaam
lier,de,zaaknaam
hoogleraar,de,persoonsnaam
pakket,het,zaaknaam
constructie,de,zaaknaam;abstract
bedreiging,de,abstract
noodzaak,de,abstract
tienduizend,het,abstract
paniek,de,abstract
district,het,zaaknaam
diploma,het,zaaknaam
bocht,het;de,zaaknaam
dijk,de,zaaknaam
apparaat,het,zaaknaam;verzamelnaam;abstract
fabrikant,de,persoonsnaam;abstract
onderscheid,het,abstract
mededeling,de,abstract
wiel,het;de,zaaknaam
stage,de,abstract
verdriet,het,abstract
filosofie,de,abstract
experiment,het,abstract
woede,de,abstract
solidariteit,de,abstract
engel,de,persoonsnaam
verblijf,het,abstract
bot,het;de,zaaknaam;stofnaam;abstract
tante,de,persoonsnaam
chef,de,persoonsnaam
rijbewijs,het,zaaknaam
vervolg,het,abstract
neef,de,persoonsnaam
pan,de,zaaknaam
schaduw,de,abstract
sanctie,de,abstract
verzekeraar,de,persoonsnaam;abstract
overtuiging,de,abstract
parlementair,de,persoonsnaam
wandeling,de,abstract
oceaan,de,zaaknaam
personeelslid,het,persoonsnaam
vaart,de,zaaknaam;verzamelnaam;abstract
schadevergoeding,de,abstract
dj,de,persoonsnaam
zaterdagavond,de,abstract
stam,de,zaaknaam
perspectief,het,abstract
moeilijkheid,de,abstract
maan,de,zaaknaam
vooruitzicht,het,abstract
tennis,het,abstract
tas,de,zaaknaam;verzamelnaam
impact,de,abstract
zangeres,de,persoonsnaam
plastic,het,stofnaam
arbeidsmarkt,de,abstract
dichter,de,zaaknaam;persoonsnaam
rel,de,abstract
heden,het,abstract
buitenlander,de,persoonsnaam;abstract
geneesmiddel,het,abstract
regie,de,abstract
actrice,de,persoonsnaam
vernieuwing,de,abstract
najaar,het,abstract
afkomst,de,abstract
aannemer,de,persoonsnaam;abstract
elite,de,verzamelnaam
klus,de,abstract
capaciteit,de,abstract
trio,het,verzamelnaam
transport,het,abstract
percentage,het,abstract
variant,de,abstract
confrontatie,de,abstract
goedkeuring,de,abstract
moskee,de,zaaknaam
nv,de,abstract
pen,de,zaaknaam
luxe,de,abstract
mandaat,het,zaaknaam;abstract
maaltijd,de,zaaknaam;abstract
gemeentehuis,het,zaaknaam;verzamelnaam;abstract
stadhuis,het,zaaknaam;verzamelnaam;abstract
individu,het,persoonsnaam
elektriciteit,de,abstract
reportage,de,abstract
eigenschap,de,abstract
naakt,het,zaaknaam
bestand,het,abstract
wortel,de,zaaknaam;verzamelnaam;stofnaam;abstract
deelstaat,de,abstract
financiering,de,abstract
parlementslid,het,persoonsnaam
invoer,de,abstract
tram,de,zaaknaam;abstract
gevangenisstraf,de,abstract
corruptie,de,abstract
eindronde,de,abstract
opvang,de,abstract
pech,de,abstract
oma,de,persoonsnaam
mobiliteit,de,abstract
voorganger,de,zaaknaam;persoonsnaam
dam,de,zaaknaam
discriminatie,de,abstract
opzet,het;de,abstract
sponsor,de,persoonsnaam;abstract
moordenaar,de,zaaknaam;persoonsnaam;abstract
handtekening,de,zaaknaam
rook,de,stofnaam
nadruk,de,zaaknaam;abstract
passie,de,abstract
verplaatsing,de,abstract
inbreker,de,persoonsnaam
vlam,de,zaaknaam
resolutie,de,abstract
uitbater,de,persoonsnaam;abstract
bedrijfsleven,het,abstract
vv,de,verzamelnaam
fotograaf,de,zaaknaam;persoonsnaam;abstract
federatie,de,abstract
nationaliteit,de,abstract
kelder,de,zaaknaam
etappe,de,abstract
secretaris,de,persoonsnaam
geduld,het,abstract
formeel,het,zaaknaam
graf,het,zaaknaam
kostprijs,de,abstract
conferentie,de,abstract
monster,het,zaaknaam;persoonsnaam;abstract
vonnis,het,abstract
front,het,abstract
getal,het,abstract
onderzoeksrechter,de,persoonsnaam
luisteraar,de,persoonsnaam
bel,de,zaaknaam;abstract
kwartfinale,de,abstract
chaos,de,abstract
beschrijving,de,abstract
sluiting,de,zaaknaam;abstract
lente,de,abstract
leugen,de,abstract
stok,de,zaaknaam
parcours,het,zaaknaam
geheugen,het,abstract
concern,het,abstract
scholier,de,persoonsnaam
inrichting,de,zaaknaam;abstract
gezag,het,abstract
virus,het,zaaknaam;abstract
fietspad,het,zaaknaam
beschuldiging,de,abstract
profiel,het,abstract
zalm,het;de,zaaknaam;stofnaam
ijzer,het,stofnaam
bril,de,zaaknaam
rebel,de,persoonsnaam
aanhanger,de,zaaknaam;persoonsnaam
motief,het,abstract
ontwerper,de,persoonsnaam
som,de,zaaknaam;abstract
slaapkamer,de,zaaknaam
voorzitterschap,het,abstract
interpretatie,de,abstract
juweel,het,zaaknaam;stofnaam;abstract
kijk,de,abstract
staf,de,zaaknaam;verzamelnaam
ontvangst,de,abstract
prov.,de,abstract
nut,het,abstract
toilet,het,zaaknaam;abstract
bevel,het,abstract
tunnel,de,zaaknaam
long,de,zaaknaam
lip,de,zaaknaam
haan,de,zaaknaam;persoonsnaam;stofnaam;abstract
ernst,de,abstract
vriendschap,de,abstract
componist,de,persoonsnaam
ondersteuning,de,abstract
automobilist,de,persoonsnaam
recept,het,zaaknaam
celstraf,de,abstract
investeerder,de,persoonsnaam
toespraak,de,abstract
steek,de,zaaknaam;abstract
planeet,de,zaaknaam
muis,de,zaaknaam;abstract
verwijzing,de,zaaknaam
rusthuis,het,zaaknaam
samenstelling,de,abstract
materieel,het,verzamelnaam
teen,de,zaaknaam
za,de,abstract
boerderij,de,zaaknaam
concentratie,de,abstract
weekeinde,het,abstract
uitdrukking,de,abstract
lift,de,zaaknaam;abstract
ambassadeur,de,persoonsnaam
faillissement,het,abstract
ellende,de,abstract
opvoeding,de,abstract
bediende,de,persoonsnaam
lamp,de,zaaknaam
rubriek,de,abstract
minimum,het,abstract
bisschop,de,persoonsnaam
verzameling,de,verzamelnaam
troef,de,abstract
varken,het,zaaknaam;persoonsnaam;stofnaam
ontbijt,het,zaaknaam;abstract
bladzijde,de,zaaknaam
onrecht,het,abstract
vreemdeling,de,persoonsnaam
nicht,de,persoonsnaam
werkgroep,de,verzamelnaam
zuur,het,stofnaam
voorziening,de,abstract
hobby,de,abstract
overtreding,de,abstract
schijf,de,zaaknaam
beer,de,zaaknaam;persoonsnaam;stofnaam
leed,het,abstract
plicht,de,abstract
was,de,verzamelnaam;stofnaam;abstract
klassement,het,abstract
objectief,het,zaaknaam
tempel,de,zaaknaam
visser,de,persoonsnaam
onzekerheid,de,abstract
verhoging,de,abstract
gemeenteraadslid,het,persoonsnaam
trek,de,abstract
schepencollege,het,verzamelnaam
koran,de,zaaknaam;abstract
snelweg,de,zaaknaam
versterking,de,abstract
officier,de,persoonsnaam
herhaling,de,abstract
verlichting,de,zaaknaam;abstract
divisie,de,verzamelnaam
voornemen,het,abstract
reglement,het,abstract
opkomst,de,abstract
gelijkspel,het,abstract
deelgemeente,de,abstract
vorming,de,abstract
docent,de,persoonsnaam;abstract
hoofdrol,de,abstract
vs.,het,abstract
stuur,het;de,zaaknaam;persoonsnaam
verpakking,de,zaaknaam;abstract
verloop,het,abstract
accent,het,abstract
thee,de,zaaknaam;stofnaam;abstract
jazz,de,abstract
ingenieur,de,persoonsnaam
oefening,de,abstract
keel,de,abstract
ambassade,de,zaaknaam;abstract
ras,het,verzamelnaam
korting,de,abstract
tong,de,zaaknaam;stofnaam;abstract
factor,de,abstract
tiener,de,persoonsnaam
piano,het;de,zaaknaam;abstract
behulp,het,abstract
pint,de,zaaknaam
zakenman,de,persoonsnaam
deal,de,abstract
pond,het,abstract
sporthal,de,zaaknaam
welzijn,het,abstract
hoed,de,zaaknaam
compromis,het,abstract
discipline,de,abstract
slotfase,de,abstract
loopbaan,de,abstract
dienstverlening,de,abstract
hogeschool,de,abstract
betrokkenheid,de,abstract
koffer,de,zaaknaam
hap,de,abstract
debuut,het,abstract
buurtbewoner,de,persoonsnaam
buurland,het,abstract
doorbraak,de,zaaknaam;abstract
overval,de,abstract
gitaar,de,zaaknaam;persoonsnaam;abstract
vrijdagavond,de,abstract
koek,de,zaaknaam;verzamelnaam;stofnaam
tweet,de,abstract
heuvel,de,zaaknaam
afwezigheid,de,abstract
ridder,de,persoonsnaam
oom,de,persoonsnaam
atleet,de,persoonsnaam
criminaliteit,de,abstract
politieman,de,persoonsnaam
hel,de,zaaknaam
lat,de,zaaknaam
waarschuwing,de,abstract
gemak,het,abstract
kroon,de,zaaknaam;persoonsnaam;verzamelnaam;abstract
aanbeveling,de,abstract
architectuur,de,abstract
nota,de,zaaknaam
expo,de,abstract
treffer,de,abstract
persconferentie,de,abstract
ritme,het,abstract
waardering,de,abstract
halfuur,het,abstract
liefhebber,de,persoonsnaam
touw,het,zaaknaam;stofnaam
knop,de,zaaknaam
toename,de,abstract
motorfiets,de,zaaknaam
opinie,de,abstract
enthousiasme,het,abstract
orgaan,het,zaaknaam;abstract
afronding,de,abstract
voorraad,de,verzamelnaam
opstand,de,abstract
klassieker,de,zaaknaam;abstract
piloot,de,persoonsnaam;abstract
profeet,de,persoonsnaam
gemeen,het,abstract
decor,het,zaaknaam;abstract
peper,de,zaaknaam;stofnaam
speurder,de,persoonsnaam
hoofddoek,de,zaaknaam
tank,de,zaaknaam;persoonsnaam
bundel,de,zaaknaam;verzamelnaam;abstract
kleuter,de,persoonsnaam
salaris,het,abstract
tribune,de,zaaknaam
conditie,de,abstract
lijsttrekker,de,persoonsnaam
verf,de,stofnaam
peloton,het,verzamelnaam
si,de,abstract
meubel,het,zaaknaam
jacht,het;de,zaaknaam;abstract
aangifte,de,abstract
persoonlijkheid,de,abstract
adviseur,de,persoonsnaam;abstract
hinder,de,abstract
depressie,de,zaaknaam;abstract
laptop,de,zaaknaam
marge,de,zaaknaam;abstract
inspiratie,de,abstract
noot,de,zaaknaam;stofnaam;abstract
uniform,het,zaaknaam
aftrap,de,abstract
object,het,zaaknaam
haal,het;de,abstract
home,het,zaaknaam
dagblad,het,zaaknaam
suggestie,de,abstract
middernacht,de,abstract
stel,het,verzamelnaam
wolf,de,zaaknaam;persoonsnaam;verzamelnaam
stop,de,zaaknaam;abstract
ontdekking,de,abstract
party,de,abstract
peer,de,zaaknaam;persoonsnaam;stofnaam;abstract
stal,de,zaaknaam
uitgangspunt,het,abstract
vel,het,zaaknaam
circuit,het,zaaknaam
bespreking,de,abstract
tijdstip,het,abstract
overgang,de,abstract
boter,de,zaaknaam;stofnaam
archief,het,abstract
bekendmaking,de,abstract
idioot,de,persoonsnaam
warmte,de,abstract
don,de,persoonsnaam
brandstof,de,zaaknaam;stofnaam
bezetting,de,abstract
inspectie,de,abstract
aansluiting,de,abstract
douche,de,zaaknaam
verdeling,de,abstract
interieur,het,zaaknaam
aardappel,de,zaaknaam;stofnaam
maker,de,zaaknaam;persoonsnaam;abstract
voetbalbond,de,verzamelnaam;abstract
feestdag,de,abstract
staart,de,zaaknaam
glimlach,de,abstract
data,de,abstract
pastoor,de,persoonsnaam
illusie,de,abstract
afwijking,de,abstract
arrestatie,de,abstract
begrafenis,de,abstract
lading,de,abstract
zilver,het,verzamelnaam;stofnaam;abstract
delegatie,de,verzamelnaam
senator,de,persoonsnaam
uitnodiging,de,zaaknaam;abstract
kabel,de,zaaknaam
verkoper,de,persoonsnaam;abstract
frustratie,de,abstract
doelgroep,de,verzamelnaam
filosoof,de,persoonsnaam
academie,de,abstract
knoop,de,zaaknaam
weerstand,de,zaaknaam;abstract
affaire,de,abstract
inschrijving,de,abstract
evaluatie,de,abstract
breuk,de,abstract
verwarring,de,abstract
ban,de,abstract
genoegen,het,abstract
voetbalclub,de,zaaknaam;verzamelnaam;abstract
greep,de,zaaknaam;abstract
criticus,de,persoonsnaam;abstract
kogel,de,zaaknaam;abstract
metro,de,zaaknaam
chocolade,de,zaaknaam;stofnaam;abstract
jurk,de,zaaknaam
badkamer,de,zaaknaam
invaller,de,persoonsnaam
soep,de,zaaknaam;stofnaam;abstract
horeca,de,verzamelnaam
hoofdredacteur,de,persoonsnaam
onrust,de,abstract
burgeroorlog,de,abstract
middenveld,het,zaaknaam
deugd,de,abstract
stapel,de,verzamelnaam
besef,het,abstract
atelier,het,zaaknaam
flat,de,zaaknaam
export,de,abstract
fantasie,de,abstract
gevangene,de,persoonsnaam
veroordeling,de,abstract
demonstratie,de,abstract
plafond,het,zaaknaam
koor,het,verzamelnaam
offensief,het,abstract
aardbeving,de,abstract
klooster,het,zaaknaam;verzamelnaam;abstract
boon,de,zaaknaam;persoonsnaam
bas,de,zaaknaam;persoonsnaam;abstract
chip,de,zaaknaam;abstract
verbazing,de,abstract
mentaliteit,de,abstract
waarnemer,de,persoonsnaam
volume,het,abstract
rechtszaak,de,abstract
berekening,de,abstract
plank,de,zaaknaam
wacht,de,persoonsnaam;abstract
rijkdom,de,abstract
schande,de,abstract
brouwerij,de,abstract
betoging,de,abstract
taart,de,zaaknaam;persoonsnaam
nest,het,zaaknaam;persoonsnaam;verzamelnaam;abstract
bioscoop,de,zaaknaam
column,de,abstract
tel,de,abstract
piste,de,zaaknaam
slogan,de,abstract
benadering,de,abstract
taxi,de,zaaknaam
lawaai,het,abstract
container,de,zaaknaam;abstract
traject,het,abstract
ploegmaat,de,persoonsnaam
fuif,de,abstract
passage,de,zaaknaam
parkeerplaats,de,zaaknaam
continent,het,zaaknaam
dol,de,zaaknaam
kleedkamer,de,zaaknaam
wever,de,persoonsnaam
gelijkmaker,de,abstract
impuls,de,abstract
vuurwerk,het,verzamelnaam;abstract
logica,de,abstract
afwachting,de,abstract
handeling,de,abstract
bestelling,de,abstract
misdrijf,het,abstract
toer,de,abstract
echtpaar,het,verzamelnaam
kwalificatie,de,abstract
diamant,de,stofnaam
assistent,de,persoonsnaam
brochure,de,zaaknaam
prof,de,persoonsnaam
fort,het,zaaknaam
dreiging,de,abstract
menu,het,zaaknaam;abstract
nieuweling,de,persoonsnaam
ondertitel,de,abstract
ruit,de,zaaknaam
benoeming,de,abstract
vreugde,de,abstract
gevel,de,zaaknaam
verbeelding,de,abstract
maag,de,zaaknaam
verschijnsel,het,abstract
pijl,de,zaaknaam
inspecteur,de,persoonsnaam
paspoort,het,zaaknaam
gebaar,het,abstract
botsing,de,abstract
toetreding,de,abstract
vacature,de,abstract
wethouder,de,persoonsnaam
raket,de,zaaknaam
helikopter,de,zaaknaam
uiting,de,abstract
vrees,de,abstract
buurman,de,persoonsnaam
duister,het,abstract
duim,de,zaaknaam
woestijn,de,zaaknaam
beloning,de,abstract
samenvatting,de,abstract
bevalling,de,abstract
gedoe,het,abstract
griep,de,abstract
web,het,zaaknaam
meeting,de,abstract
juf,de,persoonsnaam
procureur,de,zaaknaam;persoonsnaam
neiging,de,abstract
buis,de,zaaknaam
rang,de,abstract
aanklager,de,persoonsnaam
uitkomst,de,abstract
onweer,het,abstract
kruid,het,zaaknaam;verzamelnaam
aanloop,de,abstract
frequentie,de,abstract
praat,de,abstract
presentator,de,persoonsnaam
advertentie,de,zaaknaam
strip,de,zaaknaam
huurder,de,persoonsnaam;abstract
lunch,de,zaaknaam;abstract
date,de,persoonsnaam;abstract
opslag,de,abstract
dode,de,persoonsnaam
vijver,de,zaaknaam
platteland,het,abstract
welvaart,de,abstract
zaad,het,zaaknaam
grondstof,de,zaaknaam
solo,het;de,abstract
redenering,de,abstract
herfst,de,abstract
friet,de,zaaknaam;verzamelnaam;stofnaam
getuigenis,het;de,abstract
kopie,de,zaaknaam
bakkerij,de,zaaknaam;abstract
bezuiniging,de,abstract
winterstop,de,abstract
inlichting,de,abstract
stadium,het,abstract
verbond,het,abstract
lach,de,abstract
diplomatiek,de,abstract
overstap,de,abstract
pleidooi,het,abstract
zaakvoerder,de,persoonsnaam
konijn,het,zaaknaam;stofnaam
historicus,de,persoonsnaam
schooljaar,het,abstract
biografie,de,zaaknaam;abstract
vocht,het,stofnaam
huur,de,abstract
wond,de,zaaknaam;abstract
wo,het;de,abstract
kunde,de,abstract
overschot,het,zaaknaam;abstract
kleinkind,het,persoonsnaam
hek,het,zaaknaam
raadslid,het,persoonsnaam
saus,de,zaaknaam;stofnaam;abstract
boekjaar,het,abstract
carnaval,het,abstract
blog,het;de,abstract
werkdag,de,abstract
alinea,de,zaaknaam
vliegveld,het,zaaknaam;abstract
verkrachting,de,abstract
room,de,stofnaam
bijstand,de,abstract
beek,de,zaaknaam
schandaal,het,abstract
keeper,de,persoonsnaam
